,ds,y,Lag_Trend_tmax_12,Lag_Trend_tmax_24,Lag_Trend_af_12,Lag_Trend_rain_24,Lag_Trend_sun_24,Lag_Trend_O3_24,Lag_Trend_SO2_24
62,2006-09-01,7.617616666666667,15.4125,15.479166666666666,3.0416666666666665,47.40416666666666,40.925,15.904825908858166,8.004512555470217
63,2006-10-01,7.804204166666667,15.304166666666665,15.495833333333332,3.125,46.375,44.75833333333333,15.643808137054105,8.041878146868065
64,2006-11-01,7.737504166666666,15.295833333333334,15.4625,3.083333333333333,43.708333333333336,45.512499999999996,15.625509899300221,8.076219544717528
65,2006-12-01,7.586995833333333,15.345833333333333,15.470833333333333,3.083333333333333,42.33333333333333,45.65416666666666,15.98880888376856,8.092621127752174
66,2007-01-01,7.427291666666666,15.587499999999999,15.525,3.083333333333333,42.349999999999994,44.99999999999999,16.396910735620413,8.12503973587643
67,2007-02-01,7.187245833333333,15.75,15.524999999999999,3.083333333333333,39.96666666666667,46.5875,16.710530807305002,8.09266966419184
68,2007-03-01,7.155595833333333,15.762499999999998,15.524999999999999,3.083333333333333,38.43749999999999,46.516666666666666,16.669521249359956,8.14362172512374
69,2007-04-01,7.101508333333332,15.816666666666666,15.654166666666667,3.083333333333333,38.666666666666664,48.595833333333324,16.47651796381635,8.303724771718723
70,2007-05-01,7.101508333333332,15.899999999999999,15.7375,2.8333333333333335,37.68333333333334,53.645833333333336,16.36626930790237,8.353179670165558
71,2007-06-01,7.101508333333332,16.04583333333333,15.691666666666666,2.4583333333333335,37.583333333333336,55.72916666666666,16.430751834784093,8.098983134920633
72,2007-07-01,7.101508333333332,16.229166666666664,15.587499999999999,2.1666666666666665,37.3,55.59583333333333,16.323672981737495,7.824789586533537
73,2007-08-01,7.101508333333332,16.4625,15.504166666666666,1.9999999999999998,37.99583333333334,54.75416666666666,15.920043149428228,7.751522897465437
74,2007-09-01,7.143174999999999,16.704166666666662,15.4125,1.6666666666666663,38.93333333333334,54.54583333333333,16.018877474825054,7.706930043522784
75,2007-10-01,6.944645833333333,17.03333333333333,15.304166666666665,1.3333333333333333,39.11666666666667,53.454166666666666,16.636585808158387,7.504264272913466
76,2007-11-01,6.723520833333333,17.229166666666668,15.295833333333334,1.3333333333333333,42.24999999999999,52.58749999999999,16.557497546509644,7.348585509472605
77,2007-12-01,6.532558333333332,17.12083333333333,15.345833333333333,1.3333333333333333,44.37499999999999,52.833333333333336,16.340562062638675,7.180233134920633
78,2008-01-01,6.23855,16.73333333333333,15.587499999999999,1.3333333333333333,42.58333333333333,55.74583333333334,16.684558478409283,7.253032194060419
79,2008-02-01,6.2727625,16.42083333333333,15.75,1.3333333333333333,42.75833333333333,57.98333333333333,16.791525324287417,7.505216333845366
80,2008-03-01,6.434983333333333,16.275,15.762499999999998,1.3333333333333333,45.1375,57.974999999999994,16.75808371735791,7.361974099675712
81,2008-04-01,6.479016666666666,16.05833333333333,15.816666666666666,1.3333333333333333,46.04166666666666,54.90833333333333,16.793862540535926,7.188377922853728
82,2008-05-01,6.479016666666666,15.904166666666663,15.899999999999999,1.375,48.53333333333334,51.57916666666666,16.859270993343575,7.191402116402116
83,2008-06-01,6.479016666666666,15.816666666666666,16.04583333333333,1.5833333333333333,52.199999999999996,50.712500000000006,16.927031596688852,7.23144467912613
84,2008-07-01,6.479016666666666,15.779166666666665,16.229166666666664,1.6666666666666665,54.63333333333334,49.90833333333333,17.07040077231609,7.215315646868065
85,2008-08-01,6.479016666666666,15.820833333333333,16.4625,1.6666666666666667,58.42083333333333,49.974999999999994,16.842074159412867,7.209615282044717
86,2008-09-01,6.43735,15.787499999999998,16.704166666666662,1.7499999999999998,60.54166666666667,48.72083333333334,16.41168661461,7.195402372418501
87,2008-10-01,6.656029166666666,15.491666666666667,17.03333333333333,1.8333333333333333,59.26666666666666,47.29583333333333,16.75803518091824,7.163299251152074
88,2008-11-01,7.099666666666667,15.354166666666666,17.229166666666668,1.9166666666666665,57.541666666666664,47.86666666666667,17.550060270523975,7.122179552824713
89,2008-12-01,7.604745833333332,15.416666666666666,17.12083333333333,1.9166666666666665,59.224999999999994,49.358333333333334,17.780395545314896,7.192286706349206
90,2009-01-01,8.001258333333332,15.458333333333332,16.73333333333333,1.9166666666666665,65.20833333333333,49.68749999999999,17.175269350571767,7.03423525772316
91,2009-02-01,8.138483333333332,15.516666666666667,16.42083333333333,1.9166666666666665,67.86666666666666,51.599999999999994,16.770811465267112,6.671164021164021
92,2009-03-01,8.199916666666667,15.458333333333332,16.275,1.9166666666666665,64.175,53.24999999999999,16.970090885816692,6.553875714712409
93,2009-04-01,8.19885,15.383333333333333,16.05833333333333,1.9583333333333333,60.533333333333346,56.55416666666667,17.040450055470213,6.4966792541389315
94,2009-05-01,8.19885,15.337499999999999,15.904166666666663,1.9583333333333333,58.875,59.7375,17.06509163253115,6.420327700972862
95,2009-06-01,8.19885,15.241666666666667,15.816666666666666,1.9999999999999998,57.53333333333333,59.92499999999999,17.159849697047274,6.42870957074586
96,2009-07-01,8.19885,15.025,15.779166666666665,2.625,57.28333333333333,60.916666666666664,17.086036973032936,6.593192097627581
97,2009-08-01,8.19885,14.741666666666665,15.820833333333333,3.2916666666666665,54.59583333333333,59.84583333333333,16.99359422911112,6.787032503413551
98,2009-09-01,8.282183333333334,14.704166666666664,15.787499999999998,3.4166666666666665,52.45,59.49999999999999,17.123597721748446,6.863769414575865
99,2009-10-01,8.1743875,14.899999999999999,15.491666666666667,3.333333333333333,56.02499999999999,61.02916666666666,16.678051873480822,6.88691009557945
100,2009-11-01,7.774462499999999,14.970833333333331,15.354166666666666,3.25,57.85833333333333,62.224999999999994,16.52002842664689,6.911450866188769
101,2009-12-01,7.2771124999999985,15.008333333333333,15.416666666666666,3.25,56.44166666666666,61.19166666666666,16.99012997981296,7.024649044205495
102,2010-01-01,6.7632666666666665,15.083333333333334,15.458333333333332,3.25,54.08333333333334,60.14166666666667,17.12846630000412,7.189258512544802
103,2010-02-01,6.349104166666666,15.191666666666666,15.516666666666667,3.25,53.45833333333332,56.98749999999999,16.82604694516541,7.297121415770608
104,2010-03-01,6.102649999999999,15.374999999999998,15.458333333333332,3.25,55.49999999999999,52.041666666666664,16.285869973839244,7.367516054360811
105,2010-04-01,6.045066666666666,15.5125,15.383333333333333,3.208333333333333,56.86666666666667,48.10833333333332,16.142534400362543,7.370090352449222
106,2010-05-01,6.045066666666666,15.645833333333334,15.337499999999999,3.083333333333333,56.08333333333333,43.81249999999999,16.120147900959914,7.219423909796893
107,2010-06-01,6.045066666666666,15.712499999999999,15.241666666666667,3.0416666666666665,54.858333333333334,42.33749999999999,15.984634161413915,6.961174581839904
108,2010-07-01,6.045066666666666,15.604166666666666,15.025,3.1666666666666665,54.858333333333334,42.61666666666666,15.76834831912001,6.850007467144563
109,2010-08-01,6.045066666666666,15.470833333333333,14.741666666666665,3.1666666666666665,57.25833333333333,43.95833333333333,15.661762325202606,6.703166069295102
110,2010-09-01,5.961733333333333,15.358333333333333,14.704166666666664,3.1666666666666665,57.85833333333333,44.04166666666666,15.235395865335382,6.562205047789726
111,2010-10-01,6.0660375,15.270833333333332,14.899999999999999,3.25,54.724999999999994,44.262499999999996,14.64063033367469,6.5178296744324955
112,2010-11-01,6.2870083333333335,15.183333333333332,14.970833333333331,3.25,51.816666666666656,46.92083333333333,13.810761755419012,6.4982638888888875
113,2010-12-01,6.443837499999999,15.154166666666665,15.008333333333333,3.25,49.9,52.012499999999996,13.175916325311485,6.3376680107526875
114,2011-01-01,6.632883333333333,15.283333333333331,15.083333333333334,3.25,49.19166666666667,55.10416666666667,12.94709688086704,6.1056675627240145
115,2011-02-01,6.597058333333333,15.270833333333332,15.191666666666666,3.25,47.93333333333333,57.04583333333333,12.721290429254138,6.072625448028673
116,2011-03-01,6.528741666666667,15.129166666666666,15.374999999999998,3.25,46.608333333333334,60.791666666666664,13.028354348011604,6.142069892473118
117,2011-04-01,6.5618,15.037499999999998,15.5125,3.2916666666666665,46.08333333333333,63.99583333333334,13.341578661034305,6.27787858422939
118,2011-05-01,6.5618,14.845833333333331,15.645833333333334,3.6249999999999996,49.56666666666666,66.93333333333332,13.434432603686634,6.504138664874552
119,2011-06-01,6.5618,14.570833333333331,15.712499999999999,4.291666666666666,55.09166666666666,67.575,13.597291026625705,6.764728942652329
120,2011-07-01,6.5618,14.5625,15.604166666666666,4.374999999999999,56.04166666666666,66.87916666666668,13.859163786482334,6.891297043010752
121,2011-08-01,6.5618,14.820833333333333,15.470833333333333,3.791666666666666,56.46666666666666,65.8625,14.319041218637993,6.961875560035842
122,2011-09-01,6.770133333333333,15.008333333333333,15.358333333333333,3.4999999999999996,58.15833333333333,63.17083333333333,14.93796883000512,7.3027833781361995
123,2011-10-01,6.712720833333333,15.220833333333331,15.270833333333332,3.5,58.36666666666667,58.0375,15.802746309097115,7.620398372162485
124,2011-11-01,6.389508333333333,15.470833333333333,15.183333333333332,3.5,57.78333333333333,54.095833333333324,16.93981321471241,7.661635678016727
125,2011-12-01,6.0894208333333335,15.441666666666666,15.154166666666665,3.5,56.5,50.0875,17.417505120327696,7.795639187574671
126,2012-01-01,5.6807583333333325,15.187499999999998,15.283333333333331,3.5,53.375,47.30833333333333,17.493875341355178,7.919506048387096
127,2012-02-01,5.668504166666667,15.058333333333332,15.270833333333332,3.5,53.19166666666666,45.195833333333326,17.918158495477044,7.920234094982078
128,2012-03-01,5.923641666666667,15.145833333333332,15.129166666666666,3.5,55.324999999999996,42.475,17.998478835978833,7.8876045400238946
129,2012-04-01,6.024991666666667,15.345833333333331,15.037499999999998,3.458333333333333,56.89166666666666,38.75416666666666,18.00162623741253,7.808940038829151
130,2012-05-01,6.024991666666667,15.654166666666665,14.845833333333331,3.125,53.54166666666667,34.875,18.180120861068442,7.735310259856631
131,2012-06-01,6.024991666666667,16.091666666666665,14.570833333333331,2.125,46.083333333333336,32.61666666666667,18.166411183649085,7.548217219235363
132,2012-07-01,6.024991666666667,16.441666666666666,14.5625,1.375,44.491666666666674,30.22083333333333,18.247168352107867,7.170249029271206
133,2012-08-01,6.024991666666667,16.449999999999996,14.820833333333333,1.7916666666666665,43.133333333333326,29.12916666666667,18.152994324970127,6.968118092891277
134,2012-09-01,5.816658333333333,16.458333333333332,15.008333333333333,2.083333333333333,39.68333333333334,29.525000000000006,17.72615900750981,6.720792264038231
135,2012-10-01,5.59065,16.291666666666664,15.220833333333331,1.9583333333333333,37.766666666666666,31.037499999999998,17.280325674176478,6.475057870370371
136,2012-11-01,5.623320833333333,15.974999999999998,15.470833333333333,1.9999999999999998,37.06666666666666,29.53333333333333,16.447507573818058,6.525918458781362
137,2012-12-01,5.755966666666668,15.870833333333334,15.441666666666666,1.9999999999999998,40.21666666666667,29.575,15.568624658644818,6.508492010155316
138,2013-01-01,5.933649999999999,15.799999999999999,15.187499999999998,1.9999999999999998,44.525,32.291666666666664,15.592631528417817,6.588791816009557
139,2013-02-01,6.208058333333333,15.854166666666663,15.058333333333332,1.9999999999999998,45.025,34.166666666666664,15.779571492575522,6.598984468339307
140,2013-03-01,6.3206750000000005,15.870833333333332,15.145833333333332,1.9999999999999998,44.06666666666667,36.90416666666666,15.686138846219489,6.432291666666666
141,2013-04-01,6.254266666666666,15.654166666666667,15.345833333333331,1.9999999999999998,41.58333333333333,39.77499999999999,15.757468744666323,6.407903972520908
142,2013-05-01,6.254266666666666,15.383333333333333,15.654166666666665,2.0416666666666665,39.1,41.395833333333336,15.95275697644649,6.467601926523297
143,2013-06-01,6.254266666666666,15.2375,16.091666666666665,2.333333333333333,40.7,43.25416666666666,16.203488756613755,6.696374701314218
144,2013-07-01,6.254266666666666,15.062500000000002,16.441666666666666,2.833333333333333,40.66666666666666,46.37916666666666,16.233618684929166,7.092992084826762
145,2013-08-01,6.254266666666666,14.870833333333332,16.449999999999996,2.7499999999999996,37.81666666666666,49.77916666666666,16.349694389636337,7.374164838503686
146,2013-09-01,6.351487499999999,14.491666666666665,16.458333333333332,2.875,36.8,54.05416666666666,16.46834625921806,7.511408380711078
147,2013-10-01,6.58665,14.175,16.291666666666664,3.416666666666666,40.86666666666667,57.287499999999994,16.15367705372224,7.605636277963169
148,2013-11-01,6.685129166666666,14.108333333333334,15.974999999999998,3.4999999999999996,44.89999999999999,60.300000000000004,16.283788314176242,7.582424659086227
149,2013-12-01,6.747395833333333,14.070833333333333,15.870833333333334,3.4999999999999996,46.04999999999999,60.03333333333333,16.706144945000617,7.582534799468545
150,2014-01-01,6.996208333333333,14.345833333333331,15.799999999999999,3.4999999999999996,48.083333333333336,57.24166666666667,16.644742615251513,7.60398230544226
151,2014-02-01,6.818141666666666,14.616666666666664,15.854166666666663,3.4999999999999996,47.65,58.34583333333333,16.53284745396119,7.74835954558563
152,2014-03-01,6.471437499999999,14.637499999999998,15.870833333333332,3.4999999999999996,46.55833333333333,60.68750000000001,16.516845363160712,8.03656705753306
153,2014-04-01,6.574883333333332,14.741666666666667,15.654166666666667,3.4999999999999996,49.73333333333333,63.30833333333333,16.337984849421165,8.14489105693569
154,2014-05-01,6.699883333333332,14.833333333333332,15.383333333333333,3.4999999999999996,54.43333333333333,66.14583333333333,15.917457669014954,8.22242801930128
155,2014-06-01,6.699883333333332,14.858333333333334,15.2375,3.2083333333333335,57.583333333333336,66.99166666666666,15.533668839863221,8.248497687760063
156,2014-07-01,6.699883333333332,15.054166666666665,15.062500000000002,2.4166666666666665,59.604166666666664,65.46666666666667,15.227833100055875,8.16880644224035
157,2014-08-01,6.699883333333332,15.362499999999997,14.870833333333332,1.75,60.925000000000004,63.21666666666667,15.11510998845466,8.000440499419318
